image,method,mean_intensity,std_intensity,min_intensity,max_intensity
00007.jpg,Original,141.81259548611112,64.98555855951383,0,255
00007.jpg,Histogram Equalization,128.28564766589506,73.55039408416812,0,255
00007.jpg,CLAHE,124.628565779321,66.49748314652119,0,255
00010.jpg,Original,179.62647569444445,63.1888724591929,0,255
00010.jpg,Histogram Equalization,128.45336902006173,73.90632552936404,0,255
00010.jpg,CLAHE,146.4502131558642,64.29328149640293,0,255
00019.jpg,Original,188.871807966821,42.36196313534046,1,255
00019.jpg,Histogram Equalization,128.5085296103395,73.79907210504201,0,255
00019.jpg,CLAHE,150.88970003858026,58.98459566904771,0,255
00028.jpg,Original,169.4658834876543,59.746747897177585,0,255
00028.jpg,Histogram Equalization,128.3460334683642,73.7440760197783,0,255
00028.jpg,CLAHE,138.39953993055556,63.662436477629996,0,255
00036.jpg,Original,161.95002555941358,68.04340371349137,0,255
00036.jpg,Histogram Equalization,128.22533902391976,73.78780879299558,0,255
00036.jpg,CLAHE,138.38707175925927,67.73973352317786,0,255
00043.jpg,Original,168.77398244598766,62.487445314474776,1,255
00043.jpg,Histogram Equalization,128.29956934799384,73.83000607266356,0,255
00043.jpg,CLAHE,142.0861935763889,64.89638586031916,0,255
00044.jpg,Original,168.65400366512347,63.5085660907165,0,255
00044.jpg,Histogram Equalization,128.32109857253087,73.83113748242677,0,255
00044.jpg,CLAHE,139.6842973572531,64.8049816879471,0,255
00054.jpg,Original,160.8134944058642,65.99273229865588,1,255
00054.jpg,Histogram Equalization,128.33218942901235,73.64585232535507,0,255
00054.jpg,CLAHE,133.23158950617284,64.7870138080171,0,255
00059.jpg,Original,161.20006172839507,71.78848964668613,1,255
00059.jpg,Histogram Equalization,128.38469714506172,73.68799193416946,0,255
00059.jpg,CLAHE,134.52556664737654,66.73111385276125,1,255
00091.jpg,Original,189.43399594907407,45.55468820254062,0,255
00091.jpg,Histogram Equalization,128.53701919367285,73.83442949940182,0,255
00091.jpg,CLAHE,155.1636675347222,56.20872265221368,0,255
